seed,nc_co,nc_tt,fst_co,fst_tt
175,3.0,2.0,0.024381691394172206,0.0067044584826234654
176,3.0,2.0,0.027425349098761324,0.006329311744720069
177,4.0,2.0,0.02945351089182425,0.009256192316329681
178,3.0,2.0,0.02547565549807235,0.008049142593511546
179,3.0,3.0,0.01843020196212012,0.00839244525002854
180,4.0,2.0,0.03743480175324157,0.005105079858243582
181,3.0,2.0,0.024491646304242918,0.007091884847987053
182,3.0,2.0,0.021954971431652343,0.007195385509294938
183,3.0,2.0,0.019475157910697947,0.008630727931810203
184,3.0,2.0,0.019699885784018354,0.0045074947887476565
185,3.0,2.0,0.02957106928316568,0.006724136184947176
186,3.0,2.0,0.02170210614695128,0.004494788382128368
187,4.0,2.0,0.03934835194923412,0.006376113655348335
188,3.0,2.0,0.026405730051070147,0.0058498600315607455
189,3.0,2.0,0.031342588897488435,0.005405866058411006
190,3.0,2.0,0.013716388412696569,0.0071249805164312514
191,3.0,2.0,0.030946931453845652,0.004162464485298796
192,3.0,2.0,0.01948095158134678,0.009581417852860633
193,3.0,2.0,0.02201718012651108,0.007248269332858045
194,2.0,2.0,0.012495882202366637,0.007628725791051307
195,2.0,2.0,0.007647040266952907,0.004504896681759688
196,3.0,2.0,0.024868649028015187,0.007363835880092544
197,3.0,2.0,0.022045564421522862,0.007963693937562502
198,3.0,3.0,0.025364724207743553,0.007353704706903869
199,4.0,2.0,0.022924980656114397,0.005114993441384352
200,4.0,2.0,0.04584769029086859,0.003986935858113047
201,3.0,2.0,0.02420921266355472,0.007156706130859813
202,3.0,2.0,0.05027485162303466,0.006859898830933011
203,3.0,2.0,0.018368110483882635,0.0034557691980308418
204,3.0,2.0,0.020695511070031637,0.006533395690433363
205,4.0,2.0,0.04447960472005087,0.004484707975237261
206,3.0,2.0,0.01886789708012522,0.004574637741648901
207,4.0,2.0,0.026629025172267104,0.005410973013409405
208,3.0,2.0,0.026372678317400373,0.012046118704419968
209,3.0,2.0,0.02150087763638943,0.004618660210132293
210,3.0,2.0,0.016706383708198647,0.005900559298938691
211,4.0,2.0,0.028007807515192273,0.005757992488314432
212,2.0,2.0,0.015050954819646927,0.008384052107718351
213,4.0,2.0,0.027775653145684396,0.008048437523983048
214,3.0,2.0,0.027162104149984816,0.006501944196580452
215,4.0,2.0,0.03152639707160314,0.0042216719021513464
216,3.0,2.0,0.01922396763544642,0.003865782003862952
217,3.0,2.0,0.020443795459769064,0.005275584487035127
218,4.0,2.0,0.02537584495859647,0.005244080713303081
219,3.0,2.0,0.024658353212733193,0.00363342807974522
220,3.0,2.0,0.01721519868574353,0.0061299610311685284
221,3.0,2.0,0.015888056379433562,0.004733885082421804
222,3.0,2.0,0.018619996393876667,0.0068770214465249035
223,3.0,2.0,0.022620865965860226,0.005758902862857627
